Config_ID,State_ID,Agent,Sims,Threads,Chosen_Move_Idx,Time_Ms,Oracle_Score
1,0,Sequential,5000,1,18,4.4254,0.4782590828835964
1,1,Sequential,5000,1,124,4.2523,0.47043026238679886
1,2,Sequential,5000,1,30,4.5241,0.46298038214445114
2,0,Leaf,5000,2,48,3.6697,0.47784933634102345
2,1,Leaf,5000,2,115,3.7886,0.4711710028350353
2,2,Leaf,5000,2,44,4.1748,0.4660954177379608
3,0,Leaf,5000,4,28,2.3661,0.47874148562550545
3,1,Leaf,5000,4,107,2.2373,0.4707214590162039
3,2,Leaf,5000,4,101,2.2423,0.4672343097627163
4,0,Root,5000,2,18,2.6972,0.4782590828835964
4,1,Root,5000,2,16,3.8589,0.46897763945162296
4,2,Root,5000,2,14,2.2129,0.46482888609170914
5,0,Root,5000,4,28,2.0192,0.47874148562550545
5,1,Root,5000,4,19,1.8062,0.47254442423582077
5,2,Root,5000,4,17,1.7979,0.46458369493484497
6,0,LockFree,5000,2,54,3.4129,0.4793596789240837
6,1,LockFree,5000,2,63,3.3042,0.4693512748926878
6,2,LockFree,5000,2,43,3.7369,0.4660491831600666
7,0,LockFree,5000,4,111,1.6181,0.4802562575787306
7,1,LockFree,5000,4,81,2.1976,0.47070556320250034
7,2,LockFree,5000,4,69,1.4964,0.46415505930781364
8,0,VirtualLoss,5000,2,79,3.8466,0.4788837544620037
8,1,VirtualLoss,5000,2,88,2.9711,0.46904257126152515
8,2,VirtualLoss,5000,2,154,3.9613,0.4641878344118595
9,0,VirtualLoss,5000,4,108,2.4051,0.4775597620755434
9,1,VirtualLoss,5000,4,92,2.2516,0.47045535407960415
9,2,VirtualLoss,5000,4,33,2.2721,0.4666024297475815
10,0,WuUct,5000,2,71,9.0552,0.4769424647092819
10,1,WuUct,5000,2,126,6.5767,0.4708527624607086
10,2,WuUct,5000,2,18,7.5335,0.4644149839878082
11,0,WuUct,5000,4,98,8.3873,0.4762001559138298
11,1,WuUct,5000,4,45,6.6456,0.4683970920741558
11,2,WuUct,5000,4,33,6.5201,0.4666024297475815
12,0,Sequential,10000,1,70,13.705,0.4789623226970434
12,1,Sequential,10000,1,53,10.1668,0.4697471410036087
12,2,Sequential,10000,1,23,14.5266,0.4660409912467003
13,0,Leaf,10000,2,47,9.2025,0.48098929040133953
13,1,Leaf,10000,2,34,8.0658,0.46907539293169975
13,2,Leaf,10000,2,113,8.1958,0.46350478008389473
14,0,Leaf,10000,4,94,4.8785,0.4779212847352028
14,1,Leaf,10000,4,84,4.6203,0.4719411786645651
14,2,Leaf,10000,4,88,5.1531,0.46092942729592323
15,0,Root,10000,2,15,8.3546,0.4770591091364622
15,1,Root,10000,2,15,8.2995,0.4693016931414604
15,2,Root,10000,2,14,8.372,0.46482888609170914
16,0,Root,10000,4,28,4.1173,0.47874148562550545
16,1,Root,10000,4,22,3.8299,0.4698198866099119
16,2,Root,10000,4,58,3.6925,0.46759942919015884
17,0,LockFree,10000,2,111,12.5052,0.4802562575787306
17,1,LockFree,10000,2,113,11.8756,0.47043393552303314
17,2,LockFree,10000,2,28,11.0507,0.4633198752999306
18,0,LockFree,10000,4,81,18.615,0.4790552631020546
18,1,LockFree,10000,4,97,6.4285,0.4687670562416315
18,2,LockFree,10000,4,128,6.0305,0.4627673849463463
19,0,VirtualLoss,10000,2,44,7.6631,0.47960524447262287
19,1,VirtualLoss,10000,2,61,7.9596,0.4699604883790016
19,2,VirtualLoss,10000,2,115,7.8435,0.46447577327489853
20,0,VirtualLoss,10000,4,55,6.2962,0.47775605879724026
20,1,VirtualLoss,10000,4,120,5.5623,0.4697233624756336
20,2,VirtualLoss,10000,4,135,5.6628,0.46516162902116776
21,0,WuUct,10000,2,94,20.3853,0.4779212847352028
21,1,WuUct,10000,2,81,14.1129,0.47070556320250034
21,2,WuUct,10000,2,30,14.8309,0.46298038214445114
22,0,WuUct,10000,4,148,20.9197,0.47790320217609406
22,1,WuUct,10000,4,42,14.143,0.4701476413756609
22,2,WuUct,10000,4,153,17.6004,0.4640653245151043
