Config_ID,Agent,Sims,Threads,Avg_Oracle_Score,Avg_Time_Per_Sim_Ms
1,Sequential,10000,1,0.6351,242.3082
2,Leaf,10000,2,0.6482,132.4616
3,Leaf,10000,4,0.6140,71.6825
4,Leaf,10000,8,0.6587,102.8851
5,Root,10000,2,0.6396,120.3767
6,Root,10000,4,0.5859,65.2115
7,Root,10000,8,0.5434,57.9426
8,LockFree,10000,2,0.6717,119.7961
9,LockFree,10000,4,0.6906,64.7140
10,LockFree,10000,8,0.5810,61.2260
11,VirtualLoss,10000,2,0.5788,125.0204
12,VirtualLoss,10000,4,0.6976,67.6924
13,VirtualLoss,10000,8,0.6490,58.7043
14,WuUct,10000,2,0.7759,118.9910
15,WuUct,10000,4,0.7682,61.8294
16,WuUct,10000,8,0.6385,49.4471
17,Sequential,20000,1,0.7923,512.4476
18,Leaf,20000,2,0.6941,267.5741
19,Leaf,20000,4,0.7900,144.1237
20,Leaf,20000,8,0.6587,216.1273
21,Root,20000,2,0.7837,240.0761
22,Root,20000,4,0.7325,127.2613
23,Root,20000,8,0.6667,117.7030
24,LockFree,20000,2,0.7790,247.6181
25,LockFree,20000,4,0.7184,127.8744
26,LockFree,20000,8,0.7741,123.7281
27,VirtualLoss,20000,2,0.7612,250.0292
28,VirtualLoss,20000,4,0.7620,134.1840
29,VirtualLoss,20000,8,0.8066,134.2620
30,WuUct,20000,2,0.8222,246.5257
31,WuUct,20000,4,0.7725,127.5381
32,WuUct,20000,8,0.7258,118.3482
33,Sequential,40000,1,0.8220,1016.2858
34,Leaf,40000,2,0.8971,548.1545
35,Leaf,40000,4,0.7896,292.0570
36,Leaf,40000,8,0.8790,392.7312
37,Root,40000,2,0.8116,494.7746
38,Root,40000,4,0.8104,252.4928
39,Root,40000,8,0.8464,221.4309
40,LockFree,40000,2,0.8020,544.6610
41,LockFree,40000,4,0.8105,278.9952
42,LockFree,40000,8,0.8282,237.2691
43,VirtualLoss,40000,2,0.8264,578.6287
44,VirtualLoss,40000,4,0.8099,319.7641
45,VirtualLoss,40000,8,0.8671,243.6726
46,WuUct,40000,2,0.8419,503.0978
47,WuUct,40000,4,0.7459,266.5957
48,WuUct,40000,8,0.8586,247.9678
