Config_ID,Agent,Sims,Threads,Match_Num,Test_Is_P1,Test_Won,Total_Turns,Test_Turns,Test_Time_Sec,Base_Time_Sec
1,Sequential,2500,1,1,1,0,40,20,0.9212,0.4957
1,Sequential,2500,1,2,0,0,63,31,1.2484,0.6815
1,Sequential,2500,1,3,1,0,48,24,1.0583,0.5543
1,Sequential,2500,1,4,0,0,41,20,0.9248,0.5168
1,Sequential,2500,1,5,1,0,38,19,0.8889,0.4663
1,Sequential,2500,1,6,0,0,41,20,0.8736,0.4915
1,Sequential,2500,1,7,1,0,50,25,1.0626,0.5606
1,Sequential,2500,1,8,0,0,41,20,0.9158,0.5022
1,Sequential,2500,1,9,1,0,58,29,1.1662,0.6082
1,Sequential,2500,1,10,0,0,35,17,0.8126,0.4649
1,Sequential,2500,1,11,1,0,58,29,1.1888,0.6193
1,Sequential,2500,1,12,0,0,53,26,1.1116,0.6090
1,Sequential,2500,1,13,1,0,48,24,1.0658,0.5608
1,Sequential,2500,1,14,0,0,59,29,1.1439,0.6314
1,Sequential,2500,1,15,1,0,46,23,1.0540,0.5502
1,Sequential,2500,1,16,0,1,50,25,1.0650,0.5730
1,Sequential,2500,1,17,1,0,70,35,1.2293,0.6518
1,Sequential,2500,1,18,0,1,48,24,1.0353,0.5788
1,Sequential,2500,1,19,1,0,48,24,1.0586,0.5604
1,Sequential,2500,1,20,0,0,51,25,1.0593,0.6040
1,Sequential,2500,1,21,1,0,66,33,1.2975,0.6895
1,Sequential,2500,1,22,0,0,43,21,0.9280,0.5120
1,Sequential,2500,1,23,1,0,44,22,0.9963,0.5437
1,Sequential,2500,1,24,0,0,51,25,1.0628,0.5908
1,Sequential,2500,1,25,1,0,64,32,1.2678,0.6590
1,Sequential,2500,1,26,0,0,49,24,1.0366,0.5695
1,Sequential,2500,1,27,1,1,41,21,0.9742,0.4860
1,Sequential,2500,1,28,0,0,39,19,0.8520,0.4750
1,Sequential,2500,1,29,1,0,44,22,0.9629,0.5049
1,Sequential,2500,1,30,0,0,55,27,1.1072,0.6001
1,Sequential,2500,1,31,1,0,56,28,1.1883,0.6354
1,Sequential,2500,1,32,0,1,78,39,1.4099,0.7494
1,Sequential,2500,1,33,1,0,48,24,1.0430,0.5418
1,Sequential,2500,1,34,0,1,36,18,0.8141,0.4406
1,Sequential,2500,1,35,1,0,70,35,1.2989,0.6975
1,Sequential,2500,1,36,0,0,43,21,0.9151,0.5201
1,Sequential,2500,1,37,1,0,48,24,1.0354,0.5419
1,Sequential,2500,1,38,0,0,61,30,1.1175,0.6152
1,Sequential,2500,1,39,1,0,28,14,0.6561,0.3450
1,Sequential,2500,1,40,0,0,41,20,0.9115,0.5115
1,Sequential,2500,1,41,1,0,38,19,0.8805,0.4627
