Config_ID,Grid_Size,Agent,Sims,Threads,Matches,Global_Winrate,P1_Winrate,P2_Winrate,Avg_Game_Turns,Total_Test_Time,Avg_Time_Per_Match,Avg_Time_Per_Turn,Avg_Time_Per_Sim_Ms
1,15,Sequential,500,1,5,40.0,0.0,100.0,154.4,6.04,1.21,0.0157,0.031316
2,15,Leaf,500,2,5,0.0,0.0,0.0,164.8,3.25,0.65,0.0079,0.015817
3,15,Leaf,500,4,5,0.0,0.0,0.0,160.8,2.04,0.41,0.0051,0.010163
4,15,Root,500,2,5,20.0,0.0,50.0,169.8,3.27,0.65,0.0077,0.015404
5,15,Root,500,4,5,0.0,0.0,0.0,152.0,1.96,0.39,0.0052,0.010359
6,15,LockFree,500,2,5,0.0,0.0,0.0,126.0,2.80,0.56,0.0089,0.017861
7,15,LockFree,500,4,5,40.0,33.3,50.0,177.2,2.17,0.43,0.0049,0.009811
8,15,VirtualLoss,500,2,5,40.0,33.3,50.0,152.8,3.09,0.62,0.0081,0.016181
9,15,VirtualLoss,500,4,5,60.0,33.3,100.0,152.2,2.20,0.44,0.0058,0.011530
10,15,WuUct,500,2,5,0.0,0.0,0.0,142.0,2.96,0.59,0.0084,0.016710
11,15,WuUct,500,4,5,0.0,0.0,0.0,178.0,1.89,0.38,0.0043,0.008503
12,15,Sequential,1000,1,5,100.0,100.0,100.0,161.4,13.12,2.62,0.0324,0.032385
13,15,Leaf,1000,2,5,80.0,66.7,100.0,121.2,5.78,1.16,0.0190,0.018997
14,15,Leaf,1000,4,5,100.0,100.0,100.0,176.6,4.24,0.85,0.0096,0.009574
15,15,Root,1000,2,5,80.0,66.7,100.0,160.8,6.41,1.28,0.0159,0.015900
16,15,Root,1000,4,5,40.0,0.0,100.0,126.8,3.70,0.74,0.0117,0.011665
17,15,LockFree,1000,2,5,100.0,100.0,100.0,162.6,6.68,1.34,0.0164,0.016382
18,15,LockFree,1000,4,5,60.0,33.3,100.0,131.8,3.77,0.75,0.0114,0.011429
19,15,VirtualLoss,1000,2,5,100.0,100.0,100.0,155.4,6.38,1.28,0.0164,0.016362
20,15,VirtualLoss,1000,4,5,80.0,66.7,100.0,165.6,4.47,0.89,0.0108,0.010760
21,15,WuUct,1000,2,5,100.0,100.0,100.0,175.8,6.91,1.38,0.0157,0.015673
22,15,WuUct,1000,4,5,80.0,66.7,100.0,154.0,3.65,0.73,0.0094,0.009444
