Config_ID,State_ID,Agent,Sims,Threads,Chosen_Move_Idx,Oracle_Score,Time_Ms
1,0,Sequential,500,1,44,0.6536,12.5163
1,1,Sequential,500,1,125,0.6842,12.2665
1,2,Sequential,500,1,140,0.5329,13.5805
1,3,Sequential,500,1,46,0.7429,13.0435
1,4,Sequential,500,1,109,0.4912,12.1422
1,5,Sequential,500,1,20,0.5926,12.8617
1,6,Sequential,500,1,26,0.7303,11.5854
1,7,Sequential,500,1,116,0.4000,13.0172
1,8,Sequential,500,1,180,0.3417,11.1976
1,9,Sequential,500,1,30,0.5287,12.9747
2,0,Leaf,500,2,36,0.4837,6.7936
2,1,Leaf,500,2,18,0.4605,6.8212
2,2,Leaf,500,2,89,0.9341,7.0270
2,3,Leaf,500,2,25,0.5286,7.2870
2,4,Leaf,500,2,21,0.3761,8.1380
2,5,Leaf,500,2,21,0.6593,7.2335
2,6,Leaf,500,2,26,0.7303,6.8812
2,7,Leaf,500,2,144,0.4500,7.3503
2,8,Leaf,500,2,18,0.4271,6.8371
2,9,Leaf,500,2,29,0.5096,7.5935
3,0,Leaf,500,4,37,0.6732,4.2211
3,1,Leaf,500,4,23,0.4474,4.8720
3,2,Leaf,500,4,53,0.5210,4.8000
3,3,Leaf,500,4,46,0.7429,3.8789
3,4,Leaf,500,4,29,0.8805,6.2587
3,5,Leaf,500,4,59,0.5556,4.7694
3,6,Leaf,500,4,79,0.5461,3.5381
3,7,Leaf,500,4,22,0.5563,3.9386
3,8,Leaf,500,4,42,0.4774,3.6250
3,9,Leaf,500,4,18,0.5796,3.7309
4,0,Leaf,500,8,35,0.5882,41.7751
4,1,Leaf,500,8,23,0.4474,35.4837
4,2,Leaf,500,8,19,0.4671,13.2676
4,3,Leaf,500,8,20,0.5357,7.4942
4,4,Leaf,500,8,19,0.3407,5.4972
4,5,Leaf,500,8,21,0.6593,9.2318
4,6,Leaf,500,8,26,0.7303,6.3285
4,7,Leaf,500,8,21,0.4625,7.0857
4,8,Leaf,500,8,18,0.4271,7.1373
4,9,Leaf,500,8,19,0.6242,6.8905
5,0,Root,500,2,21,0.5752,8.7422
5,1,Root,500,2,36,0.5987,8.6996
5,2,Root,500,2,112,0.5150,9.4990
5,3,Root,500,2,24,1.0000,9.6405
5,4,Root,500,2,37,0.3407,8.7234
5,5,Root,500,2,104,0.4815,9.4033
5,6,Root,500,2,19,0.6118,8.2521
5,7,Root,500,2,265,0.6062,9.7273
5,8,Root,500,2,49,0.3065,8.2965
5,9,Root,500,2,35,0.4586,9.5721
6,0,Root,500,4,231,0.5229,4.1392
6,1,Root,500,4,30,0.6118,4.1033
6,2,Root,500,4,110,0.4671,4.2514
6,3,Root,500,4,180,0.5214,4.1578
6,4,Root,500,4,222,0.4027,4.0915
6,5,Root,500,4,18,0.4222,4.6571
6,6,Root,500,4,55,0.5395,3.9367
6,7,Root,500,4,128,0.9812,4.5852
6,8,Root,500,4,247,0.4573,3.9331
6,9,Root,500,4,195,0.4395,4.4665
7,0,Root,500,8,40,0.7451,5.3649
7,1,Root,500,8,73,0.6316,5.7835
7,2,Root,500,8,110,0.4671,7.1842
7,3,Root,500,8,247,0.4929,11.7275
7,4,Root,500,8,134,0.3407,14.9488
7,5,Root,500,8,20,0.5926,8.9711
7,6,Root,500,8,48,0.3289,6.8962
7,7,Root,500,8,240,0.5563,12.5471
7,8,Root,500,8,75,0.3065,6.4932
7,9,Root,500,8,96,0.3567,8.0683
8,0,LockFree,500,2,19,0.5359,6.4490
8,1,LockFree,500,2,23,0.4474,6.0129
8,2,LockFree,500,2,30,0.5749,6.5387
8,3,LockFree,500,2,80,0.7214,6.6255
