Config_ID,Agent,Sims,Threads,Avg_Oracle_Score,Avg_Time_Per_Sim_Ms
1,Sequential,500,1,0.4728,12.1324
2,Leaf,500,2,0.4686,7.3039
3,Leaf,500,4,0.5692,4.6920
4,Root,500,2,0.5399,6.2348
5,Root,500,4,0.5651,4.4155
6,LockFree,500,2,0.5301,6.3414
7,LockFree,500,4,0.5886,4.3525
8,VirtualLoss,500,2,0.5193,6.0753
9,VirtualLoss,500,4,0.5652,4.3588
10,WuUct,500,2,0.5069,6.2714
11,WuUct,500,4,0.5122,3.7882
12,Sequential,1000,1,0.5998,25.6826
13,Leaf,1000,2,0.6020,14.6737
14,Leaf,1000,4,0.5368,9.0982
15,Root,1000,2,0.5351,12.2668
16,Root,1000,4,0.5540,6.2303
17,LockFree,1000,2,0.5584,12.3272
18,LockFree,1000,4,0.5285,8.5391
19,VirtualLoss,1000,2,0.6011,12.3225
20,VirtualLoss,1000,4,0.6159,8.5682
21,WuUct,1000,2,0.6053,12.4977
22,WuUct,1000,4,0.7053,7.1444
