Config_ID,Grid_Size,Agent,Sims,Threads,Matches,Global_Winrate,P1_Winrate,P2_Winrate,Avg_Game_Turns,Total_Test_Time,Avg_Time_Per_Match,Avg_Time_Per_Turn,Avg_Time_Per_Sim_Ms
1,11,Sequential,5000,1,50,52.0,52.0,52.0,47.6,101.28,2.03,0.0850,0.017008
2,11,Leaf,5000,2,50,46.0,40.0,52.0,45.3,56.80,1.14,0.0502,0.010035
3,11,Leaf,5000,4,50,46.0,44.0,48.0,47.2,32.25,0.65,0.0274,0.005476
4,11,Leaf,5000,8,50,26.0,28.0,24.0,47.4,39.46,0.79,0.0334,0.006689
5,11,Root,5000,2,50,52.0,56.0,48.0,45.2,50.09,1.00,0.0443,0.008857
6,11,Root,5000,4,50,52.0,52.0,52.0,46.1,26.70,0.53,0.0232,0.004631
7,11,Root,5000,8,50,26.0,20.0,32.0,46.4,26.56,0.53,0.0230,0.004607
8,11,LockFree,5000,2,50,50.0,52.0,48.0,47.2,52.01,1.04,0.0441,0.008823
9,11,LockFree,5000,4,50,40.0,32.0,48.0,45.9,26.74,0.53,0.0234,0.004675
10,11,LockFree,5000,8,50,50.0,36.0,64.0,45.6,26.32,0.53,0.0231,0.004617
11,11,VirtualLoss,5000,2,50,66.0,68.0,64.0,45.1,51.14,1.02,0.0451,0.009028
12,11,VirtualLoss,5000,4,50,50.0,56.0,44.0,46.0,26.68,0.53,0.0232,0.004644
13,11,VirtualLoss,5000,8,50,46.0,36.0,56.0,45.1,25.76,0.52,0.0229,0.004572
14,11,WuUct,5000,2,50,56.0,60.0,52.0,43.6,54.63,1.09,0.0501,0.010015
15,11,WuUct,5000,4,50,50.0,40.0,60.0,46.1,30.12,0.60,0.0261,0.005225
16,11,WuUct,5000,8,50,56.0,56.0,56.0,47.3,26.45,0.53,0.0224,0.004472
17,11,Sequential,10000,1,50,82.0,88.0,76.0,40.2,180.30,3.61,0.1782,0.017817
18,11,Leaf,10000,2,50,74.0,80.0,68.0,40.4,104.32,2.09,0.1028,0.010278
19,11,Leaf,10000,4,50,90.0,92.0,88.0,40.7,58.18,1.16,0.0566,0.005659
20,11,Leaf,10000,8,50,84.0,88.0,80.0,41.7,49.41,0.99,0.0471,0.004706
21,11,Root,10000,2,50,86.0,84.0,88.0,42.0,94.87,1.90,0.0896,0.008958
22,11,Root,10000,4,50,76.0,72.0,80.0,42.2,49.47,0.99,0.0466,0.004663
23,11,Root,10000,8,50,70.0,64.0,76.0,43.5,43.31,0.87,0.0396,0.003962
24,11,LockFree,10000,2,50,78.0,88.0,68.0,42.0,95.44,1.91,0.0902,0.009021
25,11,LockFree,10000,4,50,80.0,100.0,60.0,41.3,48.97,0.98,0.0471,0.004714
26,11,LockFree,10000,8,50,82.0,84.0,80.0,39.5,40.90,0.82,0.0411,0.004107
27,11,VirtualLoss,10000,2,50,86.0,92.0,80.0,41.2,93.81,1.88,0.0902,0.009020
28,11,VirtualLoss,10000,4,50,72.0,72.0,72.0,42.0,49.84,1.00,0.0472,0.004724
29,11,VirtualLoss,10000,8,50,82.0,80.0,84.0,38.8,40.08,0.80,0.0409,0.004094
30,11,WuUct,10000,2,50,88.0,92.0,84.0,40.6,103.94,2.08,0.1015,0.010150
31,11,WuUct,10000,4,50,86.0,76.0,96.0,40.5,54.01,1.08,0.0528,0.005284
32,11,WuUct,10000,8,50,76.0,80.0,72.0,40.6,43.47,0.87,0.0426,0.004258
33,11,Sequential,20000,1,50,98.0,100.0,96.0,31.3,300.82,6.02,0.3789,0.018943
34,11,Leaf,20000,2,50,100.0,100.0,100.0,31.8,174.16,3.48,0.2158,0.010790
35,11,Leaf,20000,4,50,96.0,96.0,96.0,31.9,96.12,1.92,0.1187,0.005933
36,11,Leaf,20000,8,50,94.0,96.0,92.0,32.1,73.57,1.47,0.0904,0.004519
37,11,Root,20000,2,50,94.0,96.0,92.0,34.9,163.47,3.27,0.1851,0.009257
38,11,Root,20000,4,50,92.0,96.0,88.0,33.7,82.85,1.66,0.0970,0.004851
39,11,Root,20000,8,50,90.0,88.0,92.0,35.9,67.37,1.35,0.0743,0.003714
40,11,LockFree,20000,2,50,96.0,92.0,100.0,33.0,159.96,3.20,0.1913,0.009567
41,11,LockFree,20000,4,50,98.0,96.0,100.0,32.2,81.74,1.63,0.1001,0.005003
42,11,LockFree,20000,8,50,94.0,88.0,100.0,32.4,63.34,1.27,0.0772,0.003858
43,11,VirtualLoss,20000,2,50,92.0,100.0,84.0,34.4,165.87,3.32,0.1904,0.009522
44,11,VirtualLoss,20000,4,50,96.0,96.0,96.0,34.1,85.40,1.71,0.0990,0.004948
45,11,VirtualLoss,20000,8,50,96.0,100.0,92.0,32.7,64.45,1.29,0.0778,0.003892
46,11,WuUct,20000,2,50,94.0,92.0,96.0,33.5,179.28,3.59,0.2112,0.010558
47,11,WuUct,20000,4,50,96.0,92.0,100.0,33.9,95.12,1.90,0.1107,0.005537
48,11,WuUct,20000,8,50,96.0,96.0,96.0,33.1,72.44,1.45,0.0864,0.004322
